raceId,driverRef,circuitRef,country,nationality_drivers,constructorRef,nationality_constructors,year,lat_x,lng_x,alt,qualifyId,quali_position,positionOrder,points,points_drivers,position_drivers,wins_drivers,points_constructors,position_constructors,wins_constructors,points_constructor_ind_races,age,fastest_lap_milliseconds,circuit_length,circuit_total_straight,circuit_mean_straight,circuit_max_straight,circuit_total_corner_length,circuit_mean_corner_length,circuit_max_corner_length,circuit_total_corner_curvature,circuit_mean_corner_curvature,circuit_max_corner_curvature,circuit_std_corner_curvature,circuit_number_of_corners,max_max_speed,max_fastest_lap_speed,var_fastest_lap_speed,min_fastest_lap_speed,max_lap_speed,var_lap_speed,bottom_lap_speed,mean_straight_speed,var_straight_speed,max_fastest_accleration,var_fastest_accleration,min_fastest_accleration,mean_top_lap_accleration,mean_var_lap_accleration,mean_min_lap_accleration,max_fastest_lap_rpm,var_fastest_lap_straight_rpm,mean_fastest_lap_straight_rpm,max_max_rpm,mean_var_straight_rpm,mean_straight_rpm,avg_gear1_time,avg_gear2_time,avg_gear3_time,avg_gear4_time,avg_gear5_time,avg_gear6_time,avg_gear7_time,avg_gear8_time,avg_gear1_time_fl,avg_gear2_time_fl,avg_gear3_time_fl,avg_gear4_time_fl,avg_gear5_time_fl,avg_gear6_time_fl,avg_gear7_time_fl,avg_gear8_time_fl,avg_lap_time_on_brake,avg_lap_distance_on_brake,avg_lap_time_on_DRS,avg_lap_distance_on_DRS,avg_lap_bottom_speed_corner,avg_lap_max_speed_corner,avg_lap_bottom_speed_tightest_corner,fl_lap_time_on_brake,fl_lap_distance_on_brake,fl_lap_time_on_DRS,fl_lap_distance_on_DRS,fl_lap_bottom_speed_corner,fl_lap_max_speed_corner,fl_lap_bottom_speed_tightest_corner,fl_tyre,fl_tyre_life,fastestlap_Sector1,fastestlap_Sector2,fastestlap_Sector3,avglap_Sector1,avglap_Sector2,avglap_Sector3,fastestlap_percentagerainfall,fastestlap_track_temperature,fastestlap_humidity,avg_lap_percentagerainfall,avg_lap_track_temperature,avg_lap_humidty,fastest_lap_milliseconds_clean
993,alonso,catalunya,Spain,Spain,mclaren,UK,2018.0,41.57,2.26111,109.0,7627.0,8.0,8.0,4.0,32.0,7.0,0.0,40.0,5.0,0.0,4.0,36.0,77721.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,316.0,313.0,64.0,77.0,312.0,65.0,73.0,249.0,45.0,54.0,15.0,1.0,51.0,13.0,6.0,11866.0,503.0,10775.0,12107.0,562.0,10747.0,0.0,4.0,9.0,14.0,8.0,10.0,14.0,13.0,0.0,2.0,7.0,13.0,6.0,9.0,16.0,14.0,14.0,650.0,14.0,1182.0,148.0,266.0,88.0,13.0,589.0,15.0,1245.0,154.0,270.0,88.0,SOFT,2.0,22.119,28.913,26.688999999999997,22.835222222222225,30.56844444444444,28.153444444444446,100.0,26.400000000000002,79.20000000000002,100.0,27.255555555555556,77.3111111111111,77721.0
993,bottas,catalunya,Spain,Finland,mercedes,Germany,2018.0,41.57000000000001,2.26111,109.0,7621.0,2.0,2.0,18.0,58.0,3.0,0.0,153.0,1.0,2.0,43.0,28.0,76213.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,327.0,325.0,66.0,83.0,319.0,64.0,73.0,175.0,61.0,54.0,15.0,1.0,48.0,12.0,7.0,12187.0,736.0,10952.0,12536.0,903.0,10537.0,0.0,3.0,15.0,18.0,12.0,8.0,10.0,12.0,0.0,0.0,9.0,15.0,8.0,8.0,13.0,14.0,13.0,598.0,11.0,984.0,143.0,260.0,90.0,10.0,527.0,14.0,1216.0,160.0,277.0,92.0,SUPERSOFT,2.0,21.527999999999995,28.365999999999993,26.318999999999992,23.765333333333334,31.612499999999994,30.361999999999995,100.0,26.400000000000006,79.2,100.0,26.95,77.88333333333333,76213.0
993,ericsson,catalunya,Spain,Sweden,sauber,Switzerland,2018.0,41.57,2.26111,109.0,7636.0,17.0,13.0,0.0,2.0,16.0,0.0,11.0,9.0,0.0,1.0,27.0,79493.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,322.0,318.0,66.0,82.0,314.0,65.0,76.0,259.0,39.0,55.0,16.0,9.0,53.0,12.0,15.0,12417.0,663.0,11073.0,12740.0,994.0,10756.0,0.0,6.0,22.0,19.0,10.0,8.0,9.0,10.0,0.0,3.0,7.0,16.0,9.0,13.0,13.0,11.0,13.0,582.0,13.0,1098.0,133.0,262.0,81.0,11.0,563.0,14.0,1195.0,151.0,274.0,82.0,SUPERSOFT,4.0,22.383000000000003,29.75,27.36000000000001,24.9818,36.1562,30.434600000000007,0.0,27.599999999999994,76.10000000000002,0.0,27.620000000000005,76.44,79493.0
993,gasly,catalunya,Spain,France,toro_rosso,Italy,2018.0,41.57,2.26111,109.0,7631.0,12.0,19.0,0.0,12.0,12.0,0.0,13.0,8.0,0.0,0.0,22.0,78463.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,327.0,320.0,64.0,78.0,313.0,64.0,72.0,250.0,45.0,56.0,17.0,1.0,48.0,12.0,10.0,12441.0,510.0,10771.0,12865.0,682.0,10704.0,0.0,5.0,15.0,20.0,12.0,10.0,8.0,8.0,0.0,0.0,11.0,20.0,7.0,12.0,10.0,12.0,13.0,588.0,11.0,975.0,139.0,255.0,80.0,11.0,546.0,14.0,1236.0,154.0,268.0,91.0,SUPERSOFT,2.0,22.119,29.501,26.842999999999996,23.8875,32.403124999999996,29.813000000000002,100.0,26.800000000000004,77.79999999999998,100.0,27.4625,76.5875,78463.0
993,grosjean,catalunya,Spain,France,haas,USA,2018.0,41.57,2.26111,109.0,7629.0,10.0,18.0,0.0,0.0,19.0,0.0,19.0,6.0,0.0,8.0,32.0,77699.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,325.0,322.0,67.0,77.0,315.0,65.0,72.0,253.0,48.0,49.0,15.0,0.0,50.0,12.0,10.0,12300.0,568.0,11106.0,12603.0,733.0,10801.0,0.0,7.0,10.0,17.0,12.0,9.0,10.0,11.0,0.0,2.0,7.0,15.0,8.0,8.0,15.0,13.0,15.0,686.0,13.0,1112.0,142.0,265.0,78.0,12.0,567.0,14.0,1222.0,156.0,276.0,107.0,SOFT,2.0,21.878,29.011,26.81,23.728071428571422,32.49342857142857,29.558928571428574,100.0,27.099999999999994,77.10000000000002,100.0,27.135714285714283,77.35000000000001,77699.0
993,hamilton,catalunya,Spain,UK,mercedes,Germany,2018.0,41.57,2.26111,109.0,7620.0,1.0,1.0,25.0,95.0,1.0,2.0,153.0,1.0,2.0,43.0,33.0,76173.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,325.0,323.0,66.0,82.0,313.0,63.0,73.0,183.0,54.0,50.0,14.0,2.0,41.0,12.0,3.0,12119.0,650.0,10948.0,12482.0,905.0,10534.0,0.0,2.0,10.0,18.0,11.0,10.0,11.0,12.0,0.0,2.0,7.0,14.0,9.0,8.0,12.0,15.0,13.0,610.0,11.0,943.0,149.0,262.0,87.0,11.0,570.0,14.0,1228.0,160.0,279.0,82.0,SUPERSOFT,2.0,21.531000000000002,28.316,26.325999999999997,23.05657142857143,30.543857142857146,29.461428571428574,100.0,26.5,79.0,0.0,26.814285714285717,78.0,76173.0
993,hulkenberg,catalunya,Spain,Germany,renault,France,2018.0,41.57,2.26111,109.0,7635.0,16.0,20.0,0.0,22.0,8.0,0.0,41.0,4.0,0.0,6.0,30.0,78923.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,313.0,313.0,63.0,81.0,313.0,63.0,75.0,255.0,36.0,51.0,14.0,7.0,50.0,14.0,8.0,11833.0,624.0,10561.0,11833.0,929.0,10019.0,0.0,11.0,25.0,13.0,8.0,10.0,9.0,8.0,0.0,2.0,11.0,13.0,10.0,15.0,10.0,10.0,11.0,512.0,13.0,1054.0,143.0,265.0,109.0,12.0,587.0,14.0,1218.0,155.0,269.0,81.0,SUPERSOFT,2.0,22.412000000000006,29.544000000000004,26.966999999999988,22.94850000000001,38.372,30.857999999999997,0.0,27.599999999999998,76.10000000000001,0.0,27.649999999999995,75.9,78923.0
993,kevin_magnussen,catalunya,Spain,Denmark,haas,USA,2018.0,41.57,2.26111,109.0,7626.0,7.0,6.0,8.0,19.0,9.0,0.0,19.0,6.0,0.0,8.0,25.0,77618.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,326.0,323.0,66.0,79.0,319.0,67.0,71.0,260.0,40.0,56.0,16.0,4.0,52.0,13.0,8.0,12445.0,585.0,11083.0,12855.0,782.0,10904.0,0.0,4.0,14.0,16.0,12.0,12.0,9.0,11.0,0.0,2.0,7.0,14.0,9.0,11.0,13.0,12.0,14.0,653.0,13.0,1096.0,140.0,260.0,81.0,13.0,631.0,14.0,1224.0,155.0,275.0,90.0,SOFT,2.0,21.869999999999997,28.919000000000004,26.829000000000008,23.589000000000002,32.45393333333333,30.005000000000003,100.0,27.099999999999994,77.10000000000002,100.0,27.09999999999999,77.39333333333333,77618.0
993,leclerc,catalunya,Spain,Monaco,sauber,Switzerland,2018.0,41.57,2.26111,109.0,7633.0,14.0,10.0,1.0,9.0,13.0,0.0,11.0,9.0,0.0,1.0,20.0,78661.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,324.0,321.0,67.0,76.0,317.0,65.0,72.0,260.0,40.0,55.0,13.0,8.0,48.0,13.0,9.0,12162.0,542.0,11112.0,12518.0,672.0,10839.0,0.0,5.0,13.0,20.0,11.0,10.0,10.0,10.0,0.0,2.0,8.0,15.0,10.0,10.0,13.0,12.0,14.0,667.0,13.0,1085.0,140.0,267.0,87.0,12.0,585.0,14.0,1204.0,150.0,274.0,85.0,SUPERSOFT,4.0,22.094,29.377000000000002,27.19,24.28371428571429,33.37428571428571,28.445714285714292,0.0,27.599999999999998,76.10000000000001,100.0,27.54285714285714,76.60000000000001,78661.0
993,max_verstappen,catalunya,Spain,Netherlands,red_bull,Austria,2018.0,41.57,2.26111,109.0,7624.0,5.0,3.0,15.0,33.0,6.0,0.0,80.0,3.0,1.0,25.0,20.0,76816.0,4618.0,2348.0,207.0,779.0,2074.0,201.0,313.0,0.015700565926190572,0.0015155252338522587,0.003087107369251331,0.000680270105671425,10.0,319.0,318.0,63.0,85.0,313.0,64.0,73.0,251.0,45.0,52.0,16.0,-1.0,51.0,14.0,4.0,11937.0,420.0,10842.0,12124.0,532.0,10736.0,1.0,5.0,9.0,15.0,12.0,12.0,10.0,9.0,0.0,2.0,7.0,13.0,13.0,12.0,11.0,10.0,13.0,606.0,14.0,1211.0,148.0,256.0,92.0,9.0,477.0,14.0,1237.0,161.0,270.0,93.0,SUPERSOFT,2.0,21.900000000000002,28.609000000000005,26.30699999999999,23.154000000000003,30.608600000000003,28.316999999999997,100.0,26.400000000000002,79.29999999999998,100.0,27.4,76.78,76816.0
