,raceId,year,circuitId,name,date,time,url,quali_date,quali_time,sprint_date,sprint_time,lat,lng,race_temp,race_precip,race_humidity,race_condition,quali_temp,quali_precip,quali_humidity,quali_condition
0,1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,-37.8497,144.968,10.425,0.0,57.2275,Clear,9.3,0.0,88.04249999999999,Clear
1,18,2008,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,-37.8497,144.968,19.5,0.0,60.0875,Clear,16.824999999999996,0.0,90.10249999999999,Partially cloudy
2,36,2007,1,Australian Grand Prix,2007-03-18,03:00:00,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix,,,,,-37.8497,144.968,11.05,0.0,79.9525,Partially cloudy,12.925,0.0,82.99000000000001,Clear
3,55,2006,1,Australian Grand Prix,2006-04-02,14:00:00,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix,,,,,-37.8497,144.968,15.200000000000001,0.0,53.32999999999999,Partially cloudy,15.466666666666667,0.09000000000000001,49.03666666666667,Partially cloudy
4,71,2005,1,Australian Grand Prix,2005-03-06,14:00:00,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix,,,,,-37.8497,144.968,17.166666666666668,0.0,54.376666666666665,"['Clear', 'Overcast', 'Partially cloudy']",14.333333333333334,1.5866666666666667,58.24333333333333,Partially cloudy
5,90,2004,1,Australian Grand Prix,2004-03-07,,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix,,,,,-37.8497,144.968,15.1,0.7,81.47,"Rain, Partially cloudy",19.1,0.0,68.19,Clear
6,108,2003,1,Australian Grand Prix,2003-03-09,,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix,,,,,-37.8497,144.968,16.5,4.76,82.56,"Rain, Partially cloudy",16.4,2.28,69.02,"Rain, Partially cloudy"
7,124,2002,1,Australian Grand Prix,2002-03-03,,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix,,,,,-37.8497,144.968,15.3,1.04,80.64,"Rain, Partially cloudy",15.5,0.67,78.25,"Rain, Partially cloudy"
8,141,2001,1,Australian Grand Prix,2001-03-04,,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix,,,,,-37.8497,144.968,20.1,0.09,77.47,"Rain, Partially cloudy",19.1,0.0,68.32,Clear
9,158,2000,1,Australian Grand Prix,2000-03-12,,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix,,,,,-37.8497,144.968,21.7,0.0,71.95,Clear,23.7,0.0,64.37,Clear
10,175,1999,1,Australian Grand Prix,1999-03-07,,http://en.wikipedia.org/wiki/1999_Australian_Grand_Prix,,,,,-37.8497,144.968,16.4,0.0,68.3,Partially cloudy,19.6,0.0,63.47,Clear
11,191,1998,1,Australian Grand Prix,1998-03-08,,http://en.wikipedia.org/wiki/1998_Australian_Grand_Prix,,,,,-37.8497,144.968,14.4,0.0,66.2,Clear,14.8,0.0,56.29,Partially cloudy
12,207,1997,1,Australian Grand Prix,1997-03-09,,http://en.wikipedia.org/wiki/1997_Australian_Grand_Prix,,,,,-37.8497,144.968,15.2,0.0,50.09,Partially cloudy,17.8,0.22,65.83,"Rain, Partially cloudy"
13,224,1996,1,Australian Grand Prix,1996-03-10,,http://en.wikipedia.org/wiki/1996_Australian_Grand_Prix,,,,,-37.8497,144.968,17.5,0.0,71.23,Clear,15.8,0.0,77.51,Partially cloudy
14,338,2010,1,Australian Grand Prix,2010-03-28,06:00:00,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix,,,,,-37.8497,144.968,19.1,0.0,66.88,Clear,16.525,0.01,84.3175,Partially cloudy
15,841,2011,1,Australian Grand Prix,2011-03-27,06:00:00,http://en.wikipedia.org/wiki/2011_Australian_Grand_Prix,,,,,-37.8497,144.968,13.45,0.0125,91.25000000000001,Partially cloudy,13.725000000000001,0.0125,72.6825,Partially cloudy
16,860,2012,1,Australian Grand Prix,2012-03-18,06:00:00,http://en.wikipedia.org/wiki/2012_Australian_Grand_Prix,,,,,-37.8497,144.968,12.475,0.025,93.295,Partially cloudy,11.674999999999999,0.0,88.00750000000001,Partially cloudy
17,880,2013,1,Australian Grand Prix,2013-03-17,06:00:00,http://en.wikipedia.org/wiki/2013_Australian_Grand_Prix,,,,,-37.8497,144.968,12.25,0.275,74.9075,Partially cloudy,15.175,0.0,77.3575,Partially cloudy
18,900,2014,1,Australian Grand Prix,2014-03-16,06:00:00,http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix,,,,,-37.8497,144.968,12.675,0.0,71.05,Clear,20.75,0.0,40.0025,Clear
19,926,2015,1,Australian Grand Prix,2015-03-15,05:00:00,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix,,,,,-37.8497,144.968,14.45,0.0,61.455,"['Partially cloudy', 'Clear', 'Clear', 'Partially cloudy']",8.924999999999999,0.0,88.53999999999999,Clear
20,948,2016,1,Australian Grand Prix,2016-03-20,05:00:00,http://en.wikipedia.org/wiki/2016_Australian_Grand_Prix,,,,,-37.8497,144.968,11.350000000000001,0.0,87.66,Clear,12.875,0.0,77.15,Clear
21,969,2017,1,Australian Grand Prix,2017-03-26,05:00:00,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix,,,,,-37.8497,144.968,19.5,0.0,83.06,Clear,19.799999999999997,0.0,75.5025,Clear
22,989,2018,1,Australian Grand Prix,2018-03-25,05:10:00,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,,,,,-37.8497,144.968,21.725,0.0,67.1525,Clear,22.075,0.0,52.2975,Clear
23,1010,2019,1,Australian Grand Prix,2019-03-17,05:10:00,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,,,,,-37.8497,144.968,15.95,0.0,95.145,Clear,12.725000000000001,0.0,91.0425,Clear
24,1076,2022,1,Australian Grand Prix,2022-04-10,05:00:00,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,2022-04-09,06:00:00,,,-37.8497,144.968,17.55,0.0,80.3075,Clear,17.725,0.0,78.4575,Clear
25,2,2009,2,Malaysian Grand Prix,2009-04-05,09:00:00,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,2.76083,101.738,30.025,0.0,77.03,Partially cloudy,29.575000000000003,0.0,73.75,Partially cloudy
26,19,2008,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,2.76083,101.738,25.025,0.0,91.535,Partially cloudy,24.85,0.0,92.9675,Partially cloudy
27,37,2007,2,Malaysian Grand Prix,2007-04-08,07:00:00,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix,,,,,2.76083,101.738,26.35,0.0,87.015,Partially cloudy,28.25,0.0,71.57000000000001,Partially cloudy
